FECHA;COSTO;REGISTRO
2018-09-30;COMISIONES_PABLO;16066
2018-09-30;DINERO_EN_CAJA;1050
2018-09-30;FIJOS;15947
2018-09-30;INSUMOS;1520
2018-09-30;MOVILIDAD;22305
2018-09-15;COMISIONES_PABLO;15820
2018-09-15;DINERO_EN_CAJA;4085
2018-09-15;FIJOS;15947
2018-09-15;INSUMOS;230
2018-09-15;MOVILIDAD;27443
2018-08-31;COMISIONES_PABLO;18166
2018-08-31;DINERO_EN_CAJA;64640
2018-08-31;FIJOS;13906
2018-08-31;INSUMOS;0
2018-08-31;MOVILIDAD;24210
2018-08-15;COMISIONES_PABLO;23.372
2018-08-15;DINERO_EN_CAJA;147.46
2018-08-15;FIJOS;13.756
2018-08-15;INSUMOS;130
2018-08-15;MOVILIDAD;33.099
2018-08-04;COMISIONES_PABLO;17810
2018-08-04;DINERO_EN_CAJA;83750
2018-08-04;INSUMOS;80
2018-08-04;MOVILIDAD;27911
2018-07-31;FIJOS;13643
2018-07-15;COMISIONES_PABLO;14840
2018-07-15;DINERO_EN_CAJA;204925
2018-07-15;FIJOS;13194
2018-07-15;INSUMOS;120
2018-07-15;MOVILIDAD;26699
2018-06-30;COMISIONES_PABLO;22435
2018-06-30;DINERO_EN_CAJA;79585
2018-06-30;FIJOS;13194
2018-06-30;INSUMOS;1845
2018-06-30;MOVILIDAD;27856
2018-06-23;COMISIONES_PABLO;0
2018-06-23;DINERO_EN_CAJA;0
2018-06-23;FIJOS;0
2018-06-23;INSUMOS;0
2018-06-23;MOVILIDAD;0
2018-05-01;FIJOS;24761
2018-05-01;MOVILIDAD;57541
2018-04-01;FIJOS;24761
2018-04-01;MOVILIDAD;35703
2018-03-01;FIJOS;24761
2018-03-01;MOVILIDAD;57333
2018-02-01;FIJOS;24761
2018-02-01;FIJOS;24761
2018-02-01;MOVILIDAD;51891
2018-01-01;FIJOS;24761
2018-01-01;MOVILIDAD;36000
2017-12-07;FIJOS;24761
2017-12-07;FIJOS;24761
2017-11-07;FIJOS;24761
2017-10-07;FIJOS;24761
