OPFECHA;REFERENCIA;SPFECHA;DEBE;HABER
2018-10-04;124;2018-10-04;0;220000
2018-09-27;2393;2018-09-21;39034,92;0
2018-09-27;123;2018-09-27;0;200000
2018-09-27;2387;2018-09-21;6566,4;0
2018-09-24;38164;2018-09-20;-2453,4;0
2018-09-21;38156;2018-09-19;10026,75;0
2018-09-21;38158;2018-09-19;51495,09;0
2018-09-21;38160;2018-09-19;35266,66;0
2018-09-21;38157;2018-09-19;45204,83;0
2018-09-21;38159;2018-09-19;69467,53;0
2018-09-18;38090;2018-09-12;125888,4;0
2018-09-18;38089;2018-09-12;51812,59;0
2018-09-18;38091;2018-09-12;48752,68;0
2018-09-17;140918;2018-09-17;0;33635
2018-09-17;1409;2018-09-14;33635;0
2018-09-13;130918;2018-09-13;0;7894,85
2018-09-12;;2018-09-12;9710,8;0
2018-09-12;120918;2018-09-12;0;9710,8
2018-09-09;122;2018-09-09;0;230000
2018-09-08;38050;2018-09-06;23710,35;0
2018-09-08;38074;2018-09-07;46180,56;0
2018-09-08;38073;2018-09-07;48237,97;0
2018-09-05;15381/2;2018-09-05;7894,4;0
2018-08-29;37170;2018-08-21;11871,67;0
2018-08-24;37181;2018-08-22;39987,7;0
2018-08-24;37183;2018-08-22;43216,59;0
2018-08-24;37185;2018-08-22;17489,32;0
2018-08-24;37187;2018-08-22;22137,44;0
2018-08-24;1508;2018-08-24;41321,28;0
2018-08-24;37182;2018-08-22;43961,58;0
2018-08-24;37184;2018-08-22;23280,78;0
2018-08-24;37186;2018-08-22;30257,67;0
2018-08-24;121;2018-08-24;0;350000
2018-08-24;150818;2018-08-24;0;41321,28
2018-08-10;37110;2018-08-08;38546,33;0
2018-08-10;37107;2018-08-08;22192,41;0
2018-08-10;37111;2018-08-08;71378,28;0
2018-08-07;070802;2018-08-07;0;3951,97
2018-08-07;070801;2018-08-07;0;79039,42
