opDATE;spDATE;REFERENCIA;DEBE;HABER
2018-12-19;2018-12-14;38749;66011,66;0
2018-12-14;2018-12-14;141218;0;65766,9
2018-12-06;2018-12-06;129;0;217276,37
2018-12-05;2018-11-30;38634;36785,61;0
2018-12-05;2018-11-30;38633;54166,47;0
2018-12-05;2018-11-30;38632;120830,5;0
2018-12-05;2018-11-30;38631;67524,76;0
2018-12-05;2018-12-04;50002484;65766,9;0
2018-11-22;2018-11-22;128;0;140000
2018-11-17;2018-11-16;38529;36831,48;0
2018-11-17;2018-11-16;38528;43258,34;0
2018-11-17;2018-11-16;38527;43190,25;0
2018-11-17;2018-11-16;38526;13790,54;0
2018-11-17;2018-11-16;38525;61821,09;0
2018-11-17;2018-11-16;38524;72440,08;0
2018-11-17;2018-11-16;38523;103333,5;0
2018-11-15;2018-11-15;127;0;299997,16
2018-11-13;2018-11-13;131118;0;21278,4
2018-11-13;2018-11-13;1311;21278,4;0
2018-11-09;2018-11-08;38472;43723,97;0
2018-11-09;2018-11-08;38470;1065,297;0
2018-11-09;2018-11-06;38459;32029,22;0
2018-11-09;2018-11-09;126;0;315000
2018-11-06;2018-11-01;38428;73534,66;0
2018-11-06;2018-11-01;38427;130451,2;0
2018-11-06;2018-11-01;38426;76954,4;0
2018-11-02;2018-11-02;021118;0;23323,08
2018-11-02;2018-11-02;194;23323,08;0
2018-10-19;2018-10-19;191018;0;48046,14
2018-10-19;2018-10-19;1910;0;37039,2
2018-10-19;2018-10-12;1210;37039,2;0
2018-10-19;2018-10-16;38320;3752,02;0
2018-10-19;2018-10-19;125;0;370000
2018-10-19;2018-10-16;38319;-4002;0
2018-10-19;2018-10-16;38321;-7457,083;0
2018-10-19;2018-10-12;38306;11718,27;0
2018-10-19;2018-10-16;38318;2871;0
2018-10-19;2018-10-09;38270/1;4095,264;0
2018-10-17;2018-10-17;171018;0;18945
2018-10-17;2018-10-17;1710;18945;0
2018-10-17;2018-10-09;091018;48046,14;0
2018-10-12;2018-10-09;38270;56351,06;0
2018-10-12;2018-10-09;38274;7584,799;0
2018-10-12;2018-10-09;38273;48350,14;0
2018-10-12;2018-10-09;38272;111856;0
2018-10-12;2018-10-09;38271;74661,72;0
2018-10-12;2018-10-09;38263;10384,18;0
2018-10-09;2018-10-02;38226;19201,71;0
2018-10-09;2018-10-01;38224;42958,72;0
2018-10-09;2018-10-01;38223;103811,5;0
2018-10-09;2018-10-01;38222;55503,68;0
2018-10-09;2018-10-01;38221;5516,218;0
2018-10-09;2018-10-01;38220;41021,75;0
2018-10-05;2018-10-05;051018;0;45601,32
2018-10-04;2018-10-04;124;0;220000
2018-09-27;2018-09-27;123;0;200000
2018-09-27;2018-09-21;2387;6566,4;0
2018-09-27;2018-09-21;2393;39034,92;0
2018-09-24;2018-09-20;38164;-2453,4;0
2018-09-21;2018-09-19;38160;35266,66;0
2018-09-21;2018-09-19;38159;69467,53;0
2018-09-21;2018-09-19;38158;51495,09;0
2018-09-21;2018-09-19;38157;45204,83;0
2018-09-21;2018-09-19;38156;10026,75;0
2018-09-18;2018-09-12;38091;48752,68;0
2018-09-18;2018-09-12;38090;125888,4;0
2018-09-18;2018-09-12;38089;51812,59;0
2018-09-17;2018-09-17;140918;0;33635
2018-09-17;2018-09-14;1409;33635;0
2018-09-13;2018-09-13;130918;0;7894,85
2018-09-12;2018-09-12;120918;0;9710,8
2018-09-12;2018-09-12;;9710,8;0
2018-09-09;2018-09-09;122;0;230000
2018-09-08;2018-09-07;38074;46180,56;0
2018-09-08;2018-09-07;38073;48237,97;0
2018-09-08;2018-09-06;38050;23710,35;0
2018-09-05;2018-09-05;15381/2;7894,4;0
2018-08-29;2018-08-21;37170;11871,67;0
2018-08-24;2018-08-24;150818;0;41321,28
2018-08-24;2018-08-24;1508;41321,28;0
2018-08-24;2018-08-24;121;0;350000
2018-08-24;2018-08-22;37187;22137,44;0
2018-08-24;2018-08-22;37186;30257,67;0
2018-08-24;2018-08-22;37185;17489,32;0
2018-08-24;2018-08-22;37184;23280,78;0
2018-08-24;2018-08-22;37183;43216,59;0
2018-08-24;2018-08-22;37182;43961,58;0
2018-08-24;2018-08-22;37181;39987,7;0
2018-08-10;2018-08-08;37111;71378,28;0
2018-08-10;2018-08-08;37110;38546,33;0
2018-08-10;2018-08-08;37107;22192,41;0
2018-08-07;2018-08-07;070802;0;3951,97
2018-08-07;2018-08-07;070801;0;79039,42
2018-08-06;2018-08-06;2330;82991,39;0
2018-08-04;2018-07-31;37056;-1543,449;0
2018-08-04;2018-07-31;37054;-214,716;0
2018-08-02;2018-07-30;37046;1479;0
2018-08-02;2018-07-25;37018;4827,456;0
2018-08-02;2018-07-25;37017;33664,8;0
2018-07-27;2018-07-27;120;0;180000
2018-07-27;2018-07-25;37025;40851,25;0
2018-07-27;2018-07-25;37024;29391,73;0
2018-07-27;2018-07-25;37023;45083,68;0
2018-07-27;2018-07-25;37022;57705,63;0
2018-07-27;2018-07-25;37021;39987,7;0
2018-07-26;2018-07-26;260718;0;1814,2
2018-07-26;2018-07-26;250718;0;24860
2018-07-26;2018-07-26;150718;26674,2;0
2018-07-24;2018-07-24;240718;0;13746
2018-07-23;2018-07-23;69923;4382,4;0
2018-07-18;2018-07-18;119;0;250000
2018-07-18;2018-07-05;36916;-1166,77;0
2018-07-18;2018-07-05;36915;-4134,24;0
2018-07-16;2018-07-16;13804;9364,05;0
2018-07-16;2018-07-13;36973;30139,21;0
2018-07-16;2018-07-13;36972;69408,95;0
2018-07-14;2018-07-12;36949;11964,28;0
2018-07-05;2018-07-05;050718;0;65477,41
2018-07-05;2018-07-04;50002265;65477,41;0
2018-07-04;2018-06-29;36885;35202,84;0
2018-07-04;2018-06-29;36884;66285,65;0
2018-07-04;2018-06-29;36883;32271,92;0
2018-06-27;2018-06-27;118;0;250000
2018-06-25;2018-06-21;36838;13508,34;0
2018-06-25;2018-06-21;36839;2147,16;0
2018-06-21;2018-06-18;36824;104060,8;0
2018-06-21;2018-06-18;36823;20280,6;0
2018-06-21;2018-06-18;36822;53790,36;0
2018-06-19;2018-06-19;1906;0;0,04
2018-06-19;2018-06-19;190618;0;34283
2018-06-14;2018-06-14;140618;34283,04;0
2018-06-12;2018-06-06;36760;11024,64;0
2018-06-12;2018-06-06;36759;27754,85;0
2018-06-12;2018-06-05;36748;1784,544;0
2018-06-12;2018-06-05;36747;44409,53;0
2018-06-12;2018-06-05;36746;45332,15;0
2018-06-12;2018-06-05;36742;49160,17;0
2018-06-12;2018-06-05;36741;45111,22;0
2018-06-12;2018-06-12;117;0;120000
2018-06-08;2018-05-29;36721;20186,7;0
2018-06-08;2018-05-29;36720;5636,208;0
2018-06-08;2018-05-29;36719;64275,6;0
2018-06-08;2018-05-29;36718;27117,23;0
2018-06-07;2018-06-07;116;0;137000
2018-05-28;2018-05-21;36670;11387,11;0
2018-05-28;2018-05-28;0518;0;25201,44
2018-05-23;2018-05-23;230518;25201,44;0
2018-05-23;2018-05-23;150518;0;43527,32
2018-05-21;2018-05-21;115;0;250000
2018-05-17;2018-05-10;36592;32268,26;0
2018-05-17;2018-05-10;36591;32148,25;0
2018-05-17;2018-05-10;36590;19302,86;0
2018-05-17;2018-05-10;36589;27066,74;0
2018-05-17;2018-05-10;36588;38823,43;0
2018-05-08;2018-04-16;36438;1889,64;0
2018-05-05;2018-05-02;36538;25680,71;0
2018-05-05;2018-04-25;36512;45459,38;0
2018-05-05;2018-04-25;36511;62087,61;0
2018-05-05;2018-04-25;36510;9848,4;0
2018-05-05;2018-04-25;2155;8026,5;0
2018-05-05;2018-04-25;2154;35500,82;0
2018-05-01;2018-05-01;114;0;200000
2018-04-27;2018-04-23;36488;2703,269;0
2018-04-26;2018-04-26;2604;0;20640
2018-04-23;2018-04-23;2304;20640;0
2018-04-19;2018-04-19;CANCELA1904;0;9259,2
2018-04-18;2018-04-16;36437;-5302,36;0
2018-04-18;2018-04-16;36435;16488,1;0
2018-04-18;2018-04-16;36434;42860,79;0
2018-04-18;2018-04-16;36433;64534,04;0
2018-04-18;2018-04-16;36432;16939,24;0
2018-04-18;2018-04-16;36431;10642,25;0
2018-04-18;2018-04-12;36418;12104,27;0
2018-04-18;2018-04-18;180418;0;39147
2018-04-15;2018-04-04;36358;3283,171;0
2018-04-12;2018-04-03;36349;22128,62;0
2018-04-12;2018-04-03;36348;69546,98;0
2018-04-12;2018-04-03;36342;17798,18;0
2018-04-12;2018-04-03;36341;5039,596;0
2018-04-12;2018-04-03;36340;29215,29;0
2018-04-12;2018-04-03;36339;38681,58;0
2018-04-12;2018-04-03;36338;15833,07;0
2018-03-29;2018-03-23;230318;9259,2;0
2018-04-11;2018-04-11;2113-2106;39147;0
2018-04-10;2018-04-10;113;0;250000
2018-03-26;2018-03-26;112;0;217000
2018-03-23;2018-03-19;36239;34126,27;0
2018-03-23;2018-03-19;36237;40522,38;0
2018-03-23;2018-03-19;36236;15483,33;0
2018-03-23;2018-03-19;36235;9917,652;0
2018-03-23;2018-03-19;36234;31761,4;0
2018-03-23;2018-03-19;36233;60695,55;0
2018-03-14;2018-03-14;1403;0;26535,6
2018-03-14;2018-03-14;140318;26535,6;0
2018-03-14;2018-03-06;36128;12373,55;0
2018-03-14;2018-03-06;36127;27285,98;0
2018-03-14;2018-03-06;36126;34681,75;0
2018-03-14;2018-03-06;36125;27444,67;0
2018-03-14;2018-03-08;36166;-3711,652;0
2018-03-14;2018-03-06;36138;3108,545;0
2018-03-08;2018-03-08;111;0;204000
2018-03-06;2018-03-02;36095;31095,81;0
2018-03-06;2018-03-02;36094;45447,22;0
2018-03-06;2018-03-02;36093;16461,79;0
2018-03-01;2018-03-23;36031;8216,697;0
2018-03-01;2018-03-23;36030;45880,92;0
2018-03-01;2018-03-23;36029;32751,76;0
2018-03-01;2018-03-23;36028;818,6352;0
2018-03-01;2018-03-23;36027;25358,83;0
2018-03-01;2018-03-23;36026;39828,18;0
2018-02-28;2018-02-28;110;0;189000
2018-02-27;2018-02-27;2702;0;36323,64
2018-02-27;2018-02-27;2102;0;36,36
2018-02-27;2018-02-21;210218;36360;0
2018-02-21;2018-02-16;35957;35520,11;0
2018-02-21;2018-02-16;35956;56408,82;0
2018-02-21;2018-02-15;35948;15802,73;0
2018-02-21;2018-02-15;35947;19402,39;0
2018-02-16;2018-02-16;109;0;210000
2018-02-08;2018-02-06;35898;1393,113;0
2018-02-08;2018-01-26;35781;5032,927;0
2018-02-08;2018-01-23;35743;32966,04;0
2018-02-08;2018-01-17;35689;17270,08;0
2018-02-08;2018-01-16;35682;16355,94;0
2018-02-08;2018-01-16;35681;20943,74;0
2018-02-08;2018-01-16;35680;64155,36;0
2018-02-08;2018-01-16;35679;46888,07;0
2018-02-08;2018-01-16;35678;34572,06;0
2018-02-07;2018-02-06;35895;20056,56;0
2018-02-07;2018-02-06;35894;38071,34;0
2018-02-07;2018-02-06;35893;103688;0
2018-02-07;2018-02-06;35892;17320,37;0
2018-02-07;2018-02-06;35891;75972,46;0
2018-02-07;2018-02-06;35890;41542,82;0
2018-02-07;2018-02-05;35877;10633,77;0
2018-02-07;2018-02-05;35876;1869,989;0
2018-02-06;2018-02-06;108;0;200000
2018-01-17;2018-01-17;107;0;270000
2018-01-16;2017-12-27;35639;8028,708;0
2018-01-16;2017-12-27;35638;42783,54;0
2018-01-11;2018-01-11;110118;0;3600
2018-01-11;2018-01-03;68272;3600;0
2018-01-09;2017-12-26;35633;35654;0
2018-01-09;2017-12-22;35632;22611,04;0
2018-01-08;2018-01-08;1812;0;23310
2018-01-08;2017-12-18;181217;23310;0
2017-12-19;2017-12-19;106;0;189000
2017-12-19;2017-12-15;35595;27997,43;0
2017-12-19;2017-12-15;35594;60191,12;0
2017-12-13;2017-12-13;121217;0;18966,66
2017-12-13;2017-12-11;35550;49493,07;0
2017-12-13;2017-12-11;35549;21649,78;0
2017-12-12;2017-11-27;1970;18966,66;0
2017-12-08;2017-12-08;105;0;200000
2017-12-05;2017-12-01;35494;2046,588;0
2017-12-05;2017-12-01;35493;30295,69;0
2017-12-05;2017-12-01;35492;47294,87;0
2017-12-05;2017-12-01;35491;11101,43;0
2017-11-29;2017-11-24;35446;67135,76;0
2017-11-29;2017-11-24;35445;32240,34;0
2017-11-29;2017-11-24;35444;9483,696;0
2017-11-29;2017-11-23;35439;13376,42;0
2017-11-23;2017-11-17;35409;7367,717;0
2017-11-23;2017-11-17;35408;26120,88;0
2017-11-23;2017-11-17;35407;44889,49;0
2017-11-23;2017-11-17;35406;52472,27;0
2017-11-23;2017-11-17;35405;37183,1;0
2017-11-22;2017-11-22;1211;0;3138
2017-11-22;2017-11-22;221117;3138;0
2017-11-21;2017-11-21;104;0;150000
2017-11-17;2017-11-17;1511;0;20610
2017-11-17;2017-11-15;151117;20610;0
2017-11-16;2017-11-14;35369;36022,29;0
2017-11-16;2017-11-06;35303;17137,95;0
2017-11-16;2017-11-14;35370;29775,66;0
2017-11-16;2017-11-06;35302;43625;0
2017-11-16;2017-11-06;35301;37935,62;0
2017-11-16;2017-11-06;35300;23903,42;0
2017-11-16;2017-11-06;35299;8428,56;0
2017-11-15;2017-11-15;103;0;120000
2017-11-07;2017-11-07;102;0;120000
2017-11-03;2017-10-27;35220;47156,38;0
2017-11-03;2017-10-26;35195;7701,24;0
2017-11-03;2017-10-24;35163;18626,72;0
2017-11-01;2017-11-01;101;0;150000
2017-10-27;2017-10-24;35164;17716,28;0
2017-10-27;2017-10-20;35133;20132,7;0
2017-10-27;2017-10-20;35132;49947,46;0
2017-10-27;2017-10-20;35131;36801,41;0
2017-10-25;2017-10-25;100;0;110000
2017-10-22;2017-10-22;1810;0;23400
2017-10-22;2017-10-18;181017;23400;0
2017-10-17;2017-10-11;35076;36684,79;0
2017-10-17;2017-10-11;35075;38400,18;0
2017-10-17;2017-10-11;35074;53228,72;0
2017-10-17;2017-10-17;99;0;165000
2017-10-11;2017-10-11;101017;0;31830
2017-10-11;2017-10-04;35030;20973,96;0
2017-10-11;2017-09-29;35011;14246,63;0
2017-10-11;2017-09-29;35010;20231,88;0
2017-10-11;2017-09-29;009;25289,85;0
2017-10-11;2017-09-29;35009;4926,01;0
2017-10-11;2017-09-29;35008;30985,92;0
2017-10-06;2017-10-04;041017;31854;0
2017-10-03;2017-10-03;10;0;24120
2017-10-03;2017-10-03;031017;24120;0
2017-10-03;2017-10-03;98;0;150000
2017-09-27;2017-09-21;22105;75759,72;0
2017-09-27;2017-09-21;22104;31422,04;0
2017-09-27;2017-09-19;22087;25289,85;0
2017-09-27;2017-09-19;22086;45099,96;0
2017-09-25;2017-09-25;97;0;200000
