ACTUAL;MONTO;CLIENTE;REMITO;FECHA
UTIL;0;cesar;327;2017-08-24
UTIL;0;peron 3513 tx2;332;2017-08-27
UTIL;0;mitrecabildo tx2;333;2017-08-27
UTIL;0;mitre avellaneda tx2;334;2017-08-27
UTIL;0;laferrere tx2;335;2017-08-27
UTIL;0;libreria stockler;337;2017-08-28
UTIL;0;alsina tx2;338;2017-08-28
UTIL;0;vicente grande tx2;339;2017-08-28
UTIL;0;lomas tx2;340;2017-08-28
UTIL;0;avellaneda 3431;366;2017-08-28
UTIL;0;lalee tx2;367;2017-08-28
UTIL;0;avellaneda 1961;368;2017-08-28
UTIL;0;8000 chaca tx2;369;2017-08-28
UTIL;0;varela calzada tx2;370;2017-08-28
UTIL;0;luisa tx2;371;2017-08-28
UTIL;0;ort tx2;373;2017-08-28
UTIL;0;cesar;374;2017-08-28
UTIL;0;kimi tx2;376;2017-08-28
UTIL;0;CASA CAMI;377;2017-08-28
UTIL;0;lafeluro tx2;384;2017-08-29
UTIL;0;lafenacional;385;2017-08-29
UTIL;0;tapiales tx2;386;2017-08-29
UTIL;0;avellaneda tx2;387;2017-08-29
UTIL;37936,017799999994;NULL;388;2017-08-29
UTIL;82115,066;NULL;389;2017-08-30
UTIL;21132,474000000006;NULL;391;2017-08-30
UTIL;20765,0382;NULL;393;2017-08-30
UTIL;25011,856200000006;NULL;396;2017-08-30
UTIL;21336,657200000005;NULL;397;2017-08-30
UTIL;85518,8134;NULL;400;2017-08-30
UTIL;79955,8652;NULL;401;2017-08-30
UTIL;79384,06060000001;NULL;402;2017-08-30
UTIL;51580,271199999996;NULL;403;2017-08-30
UTIL;38430,8652;NULL;406;2017-08-30
UTIL;107605,26;NULL;407;2017-08-30
UTIL;56340,618;NULL;408;2017-08-30
UTIL;0;soler tx2;410;2017-08-30
UTIL;0;florida-martin tx2;411;2017-08-30
UTIL;0;san cristobal tx2;412;2017-08-30
UTIL;0;san luisa tx2;413;2017-08-30
UTIL;0;mosconi tx2;414;2017-08-30
UTIL;0;casares tx2;418;2017-08-31
UTIL;0;ramos tx2;419;2017-08-31
UTIL;0;ciudadela tx2;420;2017-08-31
UTIL;2913,270400000001;NULL;428;2017-09-01
UTIL;23322,98;NULL;429;2017-09-01
UTIL;106188,1632;NULL;431;2017-09-01
UTIL;197619,10800000007;NULL;433;2017-09-01
UTIL;36873,975600000005;NULL;434;2017-09-01
UTIL;177809,90400000004;NULL;437;2017-09-01
UTIL;5504,88;NULL;438;2017-09-01
UTIL;9972,137200000001;NULL;441;2017-09-01
UTIL;54993,600000000006;NULL;442;2017-09-01
UTIL;0;castillo tx2;453;2017-09-03
UTIL;0;ezeiza tx2;454;2017-09-03
UTIL;0;san nicolas arroyos;455;2017-09-03
UTIL;0;lujan tx2;456;2017-09-03
UTIL;0;moreno tx2;457;2017-09-03
UTIL;54637,972;NULL;458;2017-09-04
UTIL;45520,200000000004;NULL;459;2017-09-04
UTIL;145938,76480000003;NULL;461;2017-09-04
UTIL;119176,35840000001;NULL;462;2017-09-04
UTIL;184085,59680000006;NULL;463;2017-09-04
UTIL;776,736;bingocrovara tx2;464;2017-09-04
UTIL;776,736;bingocrovara tx2;465;2017-09-04
UTIL;0;donato tx2;485;2017-09-04
UTIL;0;lanus tx2;486;2017-09-04
UTIL;0;san justo tx2;487;2017-09-04
UTIL;0;san pedro tx2;488;2017-09-04
UTIL;0;8000 tx2;489;2017-09-04
UTIL;0;lynmartin tx2;490;2017-09-04
UTIL;0;mosconi tx2;492;2017-09-04
UTIL;76684,51440000003;NULL;509;2017-09-05
UTIL;5746,593600000001;NULL;510;2017-09-05
UTIL;59817,070400000004;NULL;511;2017-09-05
UTIL;105164,76479999995;NULL;512;2017-09-05
UTIL;148235,4604;NULL;513;2017-09-05
UTIL;3831,0624000000007;NULL;514;2017-09-05
UTIL;88162,45920000001;NULL;515;2017-09-05
UTIL;146160;NULL;516;2017-09-05
UTIL;31069,44000000001;NULL;517;2017-09-05
UTIL;151991,35480000006;NULL;518;2017-09-05
UTIL;186043,76960000003;NULL;519;2017-09-05
UTIL;43904,0744;NULL;520;2017-09-05
UTIL;39957,7312;NULL;521;2017-09-05
UTIL;23390,64;NULL;522;2017-09-05
UTIL;21830,399999999998;NULL;525;2017-09-05
UTIL;0;big store;527;2017-09-05
UTIL;0;cabildo tx2;528;2017-09-05
UTIL;0;jhonny grand bourg tx2;529;2017-09-05
UTIL;0;suarez tx2;531;2017-09-05
UTIL;0;merlo tx2;532;2017-09-05
UTIL;0;lucas castillo tx2;533;2017-09-05
UTIL;0;la terminal;535;2017-09-05
UTIL;64831,8;NULL;538;2017-09-06
UTIL;0;rivadavia tx2;547;2017-09-06
UTIL;0;juan cesar;548;2017-09-06
UTIL;0;cesar;549;2017-09-06
UTIL;0;achupallas tx2;550;2017-09-07
UTIL;0;peron 3513 tx2;559;2017-09-07
UTIL;0;cesar;560;2017-09-08
UTIL;0;mosconi tx2;573;2017-09-10
UTIL;0;medrano tx2;574;2017-09-10
UTIL;0;jose maria moreno tx2;575;2017-09-10
UTIL;0;san juan tx2;576;2017-09-10
UTIL;0;cordoba tx2;577;2017-09-10
UTIL;0;multiprecio tx2;578;2017-09-10
UTIL;0;moreno tx2;579;2017-09-10
UTIL;0;beiro 4285 tx2;580;2017-09-10
UTIL;0;maipu yerbal tx2;601;2017-09-11
UTIL;0;gerardo tx2;602;2017-09-11
