
##### PATRIMONIO #####

STOCK   CLIENTES  LIQUIDEZ  PROVEEDORs  PATRIMONIO
691897  664682    80040     620217      816401

##### RANKING COMPRA CLIENTES #######

MES      DENOMINACION                                  MONTO
2017-09  yrigoyen lanus                                $ 6373
2017-09  cliente repetido no usar - lindisima          $ 6347
2017-09  maipu yerbal tx2                              $ 6318
2017-09  lanus tx2                                     $ 6271
2017-09  banfield tx2                                  $ 5977
2017-09  acoyte tx2                                    $ 5898
2017-09  alberdi tx2                                   $ 5814
2017-09  laferrere tx2                                 $ 5724
2017-09  santos tx2                                    $ 5693
2017-09  beccar tx2                                    $ 5617
2017-09  bingocrovara tx2                              $ 5552
2017-09  san jose tx2                                  $ 5497
2017-09  quilmes tx2                                   $ 5472
2017-09  san justo tx2                                 $ 5359
2017-09  san nicolas arroyos                           $ 5325
2017-09  parque patricio stx2                          $ 5261
2017-09  glew tx2                                      $ 5072
2017-09  monroe tx2                                    $ 4781
2017-09  los incas tx2                                 $ 4701
2017-09  san juan tx2                                  $ 4560
2017-09  beiro 4285 tx2                                $ 4446
2017-09  mariano tx2                                   $ 4277
2017-09  lynmartin tx2                                 $ 4181
2017-09  xeng tx2                                      $ 3912
2017-09  achupallas tx2                                $ 3845
2017-09  yrigoyen paz                                  $ 3802
2017-09  liniers tx2                                   $ 3762
2017-09  8000 tx2                                      $ 3453
2017-09  maipu 24 tx2                                  $ 3402
2017-09  claypole tx2                                  $ 3385
2017-09  catan tx2                                     $ 3302
2017-09  rolon tx2                                     $ 3114
2017-09  lopez tx2                                     $ 3100
2017-09  rivadavia tx2                                 $ 3097
2017-09  estrada santa fe tx2                          $ 3092
2017-09  calzada tx2                                   $ 3063
2017-09  el fortin tx2                                 $ 3028
2017-09  ballester tx2                                 $ 2990
2017-09  cordoba tx2                                   $ 2989
2017-09  alem grande tx2                               $ 2963
2017-09  forest 581 tx2                                $ 2901
2017-09  bazar umi                                     $ 2843
2017-09  medrano tx2                                   $ 2799
2017-09  multiprecio tx2                               $ 2769
2017-09  juan cesar                                    $ 2745
2017-09  choy tx2                                      $ 2633
2017-09  kimi tx2                                      $ 2535
2017-09  avellaneda tx2                                $ 2431
2017-09  lalee tx2                                     $ 2261
2017-09  celina tx2                                    $ 2255
2017-09  urquiza tx2                                   $ 2000
2017-09  chacarita tx2                                 $ 1790
2017-09  casares tx2                                   $ 1698
2017-09  gaona tx2                                     $ 1693
2017-09  caseros tx2                                   $ 1640
2017-09  marquez tx2                                   $ 1624
2017-09  lavalle tx2                                   $ 1610
2017-09  gerardo tx2                                   $ 1509
2017-09  ezeiza tx2                                    $ 1406
2017-09  CASA CAMI                                     $ 1349
2017-09  big store                                     $ 1191
2017-09  mitre avellaneda tx2                          $ 1098
2017-09  lomas tx2                                     $ 1037
2017-09  lin tx2                                       $ 912
2017-09  rodriguez tx2                                 $ 888
2017-09  herrera celina tx2                            $ 769
2017-09  solano tx2                                    $ 652
2017-09  cabildo tx2                                   $ 596
2017-09  libreria windsor                              $ 552
2017-09  pilar miguel tx2                              $ 456
2017-09  gustavo lomas tx2                             $ 435
2017-10  silvio serrano                                $ 28263
2017-10  la terminal                                   $ 24255
2017-10  martin merlo                                  $ 18763
2017-10  donato tx2                                    $ 18500
2017-10  san moron tx2                                 $ 18193
2017-10  xeng tx2                                      $ 18190
2017-10  belgrano caseros tx2                          $ 17383
2017-10  soler tx2                                     $ 16726
2017-10  nestor tx2                                    $ 15853
2017-10  merlo libertador                              $ 14395
2017-10  domingo peron tx2                             $ 13842
2017-10  yrigoyen paz                                  $ 13822
2017-10  enrique santamarina tx2                       $ 13193
2017-10  rodriguez tx2                                 $ 12612
2017-10  escobar tx2                                   $ 12429
2017-10  moron tx2                                     $ 12232
2017-10  murguiondo tx2                                $ 12137
2017-10  moreno tx2                                    $ 11513
2017-10  luisa tx2                                     $ 10582
2017-10  merlo tx2                                     $ 10198
2017-10  guardia nacional tx2                          $ 10183
2017-10  el jaguel tx2                                 $ 10044
2017-10  ciudadela tx2                                 $ 9506
2017-10  virreyes tx2                                  $ 9406
2017-10  tapiales tx2                                  $ 9191
2017-10  ruta 23 tx2                                   $ 8888
2017-10  mercedes tx2                                  $ 8632
2017-10  carrillo tx2                                  $ 8620
2017-10  merlo moreno                                  $ 8608
2017-10  ramos tx2                                     $ 8502
2017-10  josecpaz tx2                                  $ 8467
2017-10  cecilia tx2                                   $ 8434
2017-10  beccar tx2                                    $ 8223
2017-10  florencio tx2                                 $ 8222
2017-10  cesar                                         $ 8075
2017-10  san wilde tx2                                 $ 7885
2017-10  san isidro tx2                                $ 7725
2017-10  san nicolas arroyos                           $ 7696
2017-10  martelo tx2                                   $ 7623
2017-10  libreria thomas                               $ 7448
2017-10  cabildo 1757                                  $ 7389
2017-10  yrigoyen lanus                                $ 7368
2017-10  lanus tx2                                     $ 7316
2017-10  casares tx2                                   $ 7142
2017-10  ballester tx2                                 $ 7074
2017-10  lujan tx2                                     $ 7017
2017-10  vicente grande tx2                            $ 7010
2017-10  galicia tx2                                   $ 6982
2017-10  lomas rosas                                   $ 6956
2017-10  big store                                     $ 6864
2017-10  acoyte tx2                                    $ 6825
2017-10  lanuperon tx2                                 $ 6823
2017-10  san luisa tx2                                 $ 6791
2017-10  martin triunvirato                            $ 6780
2017-10  lomas tx2                                     $ 6762
2017-10  linazca tx2                                   $ 6669
2017-10  carlos tx2                                    $ 6668
2017-10  kimi tx2                                      $ 6592
2017-10  marcos paz tx2                                $ 6570
2017-10  pueyrredon tx2                                $ 6512
2017-10  mosconi belgrano tx2                          $ 6474
2017-10  caseros tx2                                   $ 6453
2017-10  grand bourg tx2                               $ 6317
2017-10  nazca 2968 tx2                                $ 6310
2017-10  somellera tx2                                 $ 6288
2017-10  diaz velez 4480                               $ 6074
2017-10  laoeste tx2                                   $ 6044
2017-10  glew tx2                                      $ 5951
2017-10  multiprecio tx2                               $ 5935
2017-10  rivadavia 18029                               $ 5836
2017-10  laferrere tx2                                 $ 5718
2017-10  alsina tx2                                    $ 5599
2017-10  navarro tx2                                   $ 5320
2017-10  mariano tx2                                   $ 5317
2017-10  juan cesar                                    $ 5250
2017-10  crovara tx2                                   $ 5104
2017-10  rivadavia tx2                                 $ 5073
2017-10  estrada tx2                                   $ 5065
2017-10  congreso tx2                                  $ 5000
2017-10  pilar miguel tx2                              $ 4994
2017-10  urquiza tx2                                   $ 4898
2017-10  lynmartin tx2                                 $ 4794
2017-10  mitre avellaneda tx2                          $ 4686
2017-10  medrano tx2                                   $ 4673
2017-10  san martin tx2                                $ 4600
2017-10  cuenca tz2                                    $ 4579
2017-10  alem grande tx2                               $ 4498
2017-10  rivadavia 2379 tx2                            $ 4472
2017-10  lafeluro tx2                                  $ 4459
2017-10  corrientes 5851                               $ 4420
2017-10  claypole tx2                                  $ 4367
2017-10  varela calzada tx2                            $ 4364
2017-10  cabildo 4539 tx2                              $ 4310
2017-10  cordoba tx2                                   $ 4281
2017-10  lalee tx2                                     $ 4256
2017-10  chacarita tx2                                 $ 4233
2017-10  franco 5827                                   $ 4233
2017-10  suarez tx2                                    $ 4187
2017-10  solano tx2                                    $ 4049
2017-10  3 de febrero tx2                              $ 4032
2017-10  avellaneda tx2                                $ 3919
2017-10  jhonny grand bourg tx2                        $ 3850
2017-10  santos tx2                                    $ 3798
2017-10  liniers tx2                                   $ 3755
2017-10  escalada tx2                                  $ 3604
2017-10  mosconi tx2                                   $ 3590
2017-10  alberdi tx2                                   $ 3526
2017-10  ort tx2                                       $ 3377
2017-10  crovara 1423 tx2                              $ 3332
2017-10  diego santa fe                                $ 3303
2017-10  david                                         $ 3130
2017-10  lafenacional                                  $ 2948
2017-10  beiro 4285 tx2                                $ 2793
2017-10  juan mansilla tx2                             $ 2763
2017-10  velez sarsfield tx2                           $ 2405
2017-10  catan tx2                                     $ 2268
2017-10  franco tx2                                    $ 2208
2017-10  san fernando tx2                              $ 2175
2017-10  boedolomas tx2                                $ 2074
2017-10  pergamino tx2                                 $ 2038
2017-10  independencia tx2                             $ 1990
2017-10  belgrano tx2                                  $ 1987
2017-10  cobo tx2                                      $ 1969
2017-10  corrientes 2 tx2                              $ 1939
2017-10  mitre san martin tx2                          $ 1534
2017-10  fernando avellaneda                           $ 1241
2017-10  bingocrovara tx2                              $ 978
2017-10  libreria los primos                           $ 971
2017-10  zac navarro                                   $ 805
2017-10  moron belgrano tx2                            $ 801
2017-10  parque patricio stx2                          $ 392
2017-11  ramos tx2                                     $ 19142
2017-11  moron tx2                                     $ 17077
2017-11  quilmes san martin tx2                        $ 16035
2017-11  la terminal                                   $ 15663
2017-11  martelo tx2                                   $ 15145
2017-11  san wilde tx2                                 $ 15041
2017-11  pacheco tx2                                   $ 14794
2017-11  avelez tx2                                    $ 13565
2017-11  donato tx2                                    $ 13406
2017-11  quilmes tx2                                   $ 13048
2017-11  jauretche tx2                                 $ 12433
2017-11  los incas tx2                                 $ 12257
2017-11  laoeste tx2                                   $ 12191
2017-11  moreno nemesio                                $ 11735
2017-11  3 de febrero tx2                              $ 11269
2017-11  franco 5827                                   $ 10675
2017-11  san isidro tx2                                $ 10178
2017-11  moreno tx2                                    $ 10121
2017-11  san nicolas arroyos                           $ 9846
2017-11  vergara tx2                                   $ 9494
2017-11  xeng tx2                                      $ 9328
2017-11  8000 tx2                                      $ 9121
2017-11  varela calzada tx2                            $ 9060
2017-11  libreria origami                              $ 8869
2017-11  cesar                                         $ 8791
2017-11  marcos paz tx2                                $ 8664
2017-11  CASA CAMI                                     $ 8634
2017-11  soler tx2                                     $ 8432
2017-11  alberdi tx2                                   $ 8430
2017-11  cecilia tx2                                   $ 8299
2017-11  san jose tx2                                  $ 8273
2017-11  veronica tx2                                  $ 8234
2017-11  mercedes tx2                                  $ 8136
2017-11  laferrere tx2                                 $ 7903
2017-11  congreso tx2                                  $ 7876
2017-11  josecpaz tx2                                  $ 7791
2017-11  rivadavia 2379 tx2                            $ 7615
2017-11  castillo tx2                                  $ 7446
2017-11  santos tx2                                    $ 7202
2017-11  martin triunvirato                            $ 7048
2017-11  segui tx2                                     $ 6978
2017-11  caseros crovara tx2                           $ 6900
2017-11  lopez tx2                                     $ 6850
2017-11  tapiales tx2                                  $ 6838
2017-11  dpalomar                                      $ 6812
2017-11  escobar tx2                                   $ 6578
2017-11  ciudadela tx2                                 $ 6519
2017-11  florida-martin tx2                            $ 6449
2017-11  lujan tx2                                     $ 6366
2017-11  julieta lanus tx2                             $ 6363
2017-11  belgrano tx2                                  $ 5894
2017-11  torcuato tx2                                  $ 5855
2017-11  suarez tx2                                    $ 5629
2017-11  rodriguez tx2                                 $ 5469
2017-11  cuenca tz2                                    $ 5250
2017-11  maipu yerbal tx2                              $ 5215
2017-11  congreso coronado tx2                         $ 5022
2017-11  nestor tx2                                    $ 5020
2017-11  mitre 2230 tx2                                $ 4937
2017-11  maipu 450                                     $ 4907
2017-11  choy tx2                                      $ 4906
2017-11  san martin tx2                                $ 4598
2017-11  alsina tx2                                    $ 4590
2017-11  claypole tx2                                  $ 4569
2017-11  wang tx2                                      $ 4537
2017-11  peron 3513 tx2                                $ 4455
2017-11  libreria jorge                                $ 4410
2017-11  avenida de mayo tx2                           $ 4402
2017-11  galicia tx2                                   $ 4350
2017-11  noi tx2                                       $ 4316
2017-11  riva 7579 tx2                                 $ 4306
2017-11  lin tx2                                       $ 4287
2017-11  cordoba 2566                                  $ 4023
2017-11  olivos tx2                                    $ 3949
2017-11  beiro 4285 tx2                                $ 3915
2017-11  caseros tx2                                   $ 3860
2017-11  mitre san martin tx2                          $ 3853
2017-11  cordoba tx2                                   $ 3785
2017-11  arribeños tx2                                 $ 3736
2017-11  santa fe tx2                                  $ 3728
2017-11  celina tx2                                    $ 3709
2017-11  kimi tx2                                      $ 3695
2017-11  rivadavia tx2                                 $ 3687
2017-11  multiprecio tx2                               $ 3543
2017-11  maipu 24 tx2                                  $ 3537
2017-11  25 avellaneda tx2                             $ 3531
2017-11  beccar tx2                                    $ 3481
2017-11  lafeluro tx2                                  $ 3101
2017-11  avellaneda tx2                                $ 3083
2017-11  olavarria tx2                                 $ 2988
2017-11  hurlingham tx2                                $ 2986
2017-11  glew tx2                                      $ 2966
2017-11  guardia nacional tx2                          $ 2950
2017-11  lomas tx2                                     $ 2893
2017-11  forest 581 tx2                                $ 2786
2017-11  gaona tx2                                     $ 2651
2017-11  mitre avellaneda tx2                          $ 2647
2017-11  lafenacional                                  $ 2630
2017-11  cabildo tx2                                   $ 2469
2017-11  pilar miguel tx2                              $ 2466
2017-11  bazar umi                                     $ 2443
2017-11  catan tx2                                     $ 2420
2017-11  murguiondo tx2                                $ 2277
2017-11  casares tx2                                   $ 2133
2017-11  chacarita tx2                                 $ 2080
2017-11  medrano tx2                                   $ 1912
2017-11  lalee tx2                                     $ 1809
2017-11  lynmartin tx2                                 $ 1747
2017-11  perfumeria triunvirato                        $ 1739
2017-11  yrigoyen lanus                                $ 1269
2017-11  ort tx2                                       $ 1145
2017-11  liniers tx2                                   $ 1088
2017-11  ballester tx2                                 $ 982
2017-11  diego santa fe                                $ 793
2017-11  bingocrovara tx2                              $ 761
2017-11  rolon tx2                                     $ 636
2017-11  rivadavia 18029                               $ 387
2017-11  juan cesar                                    $ 257
2017-11  fernando avellaneda                           $ 209
2017-11  mosconi tx2                                   $ 202
2017-11  escalada tx2                                  $ 157
2017-11  mataderos tx2                                 $ 0
2017-12  campana merlo                                 $ 40124
2017-12  merlo tx2                                     $ 16121
2017-12  navarro las heras                             $ 15167
2017-12  luisa tx2                                     $ 15155
2017-12  moron tx2                                     $ 14054
2017-12  merlo libertador                              $ 12938
2017-12  boedolomas tx2                                $ 10510
2017-12  big store                                     $ 9502
2017-12  ezeiza tx2                                    $ 9296
2017-12  caseros tx2                                   $ 9010
2017-12  adpompeya tx2                                 $ 8710
2017-12  balbin miguel                                 $ 8008
2017-12  laoeste tx2                                   $ 7967
2017-12  soler tx2                                     $ 7964
2017-12  virreyes tx2                                  $ 7667
2017-12  moreno tx2                                    $ 7412
2017-12  junin congreso                                $ 7397
2017-12  san luisa tx2                                 $ 7317
2017-12  banfield tx2                                  $ 7278
2017-12  liniers tx2                                   $ 6476
